casual_rentals,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
1563,199,1,7665,3,3,4,334,Regular Customers
1576,589,1,4660,1,3,2,132,Regular Customers
1582,596,1,4553,1,3,2,132,Regular Customers
1603,38,1,3910,5,3,1,531,Regular Customers
1612,604,1,4714,1,3,2,132,Regular Customers
1619,435,1,4381,2,3,2,232,Regular Customers
1633,477,1,5046,2,3,3,233,Regular Customers
1639,561,1,4744,1,3,2,132,Regular Customers
1651,638,1,3249,1,3,1,131,Regular Customers
1658,295,1,4911,3,4,2,342,Regular Customers
1685,575,1,4906,1,4,2,142,Regular Customers
1707,148,1,5464,4,4,3,443,Regular Customers
1710,617,1,4191,1,4,2,142,Regular Customers
1729,569,1,4966,1,4,2,142,Regular Customers
1743,540,1,4881,1,4,2,142,Regular Customers
1748,442,1,5041,2,4,3,243,Regular Customers
1750,478,1,5345,2,4,3,243,Regular Customers
1776,464,1,5423,2,4,3,243,Regular Customers
1782,555,1,5202,1,4,3,143,Regular Customers
1807,269,2,11579,3,4,5,345,Regular Customers
1829,128,1,6053,4,4,3,443,Regular Customers
1869,576,1,5342,1,4,3,143,Regular Customers
1899,443,1,5217,2,4,3,243,Regular Customers
1914,499,1,5191,2,4,3,243,Regular Customers
1920,169,2,11336,3,5,5,355,Regular Customers
1935,485,1,4484,2,4,2,242,Regular Customers
1965,119,2,11346,4,5,5,455,Regular Customers
1988,541,1,5336,1,4,3,143,Regular Customers
2001,583,1,4758,1,4,2,142,Regular Customers
2006,533,1,5302,1,4,3,143,Regular Customers
2015,92,1,6889,4,4,4,444,Regular Customers
2080,78,1,6639,4,4,3,443,Regular Customers
2090,51,1,6536,4,4,3,443,Regular Customers
2132,71,1,6824,4,4,4,444,Regular Customers
2135,239,1,6359,3,4,3,343,Regular Customers
2153,155,1,6597,4,4,3,443,Regular Customers
2166,106,1,7333,4,4,4,444,Regular Customers
2172,232,1,6118,3,4,3,343,Regular Customers
2182,141,1,6544,4,4,3,443,Regular Customers
2204,548,1,5119,1,4,3,143,Regular Customers
2207,288,1,5892,3,4,3,343,Regular Customers
2224,204,1,6598,3,4,3,343,Regular Customers
2229,246,1,6304,3,4,3,343,Regular Customers
2230,267,1,5169,3,4,3,343,Regular Customers
2234,156,1,6685,4,4,3,443,Regular Customers
2235,450,1,5409,2,4,3,243,Regular Customers
2247,142,1,6299,4,4,3,443,Regular Customers
2252,79,1,7109,4,4,4,444,Regular Customers
2258,590,1,5805,1,4,3,143,Regular Customers
